FilmID	ReviewID	SentenceID	Sentence	Label
1	1	1	prošla filmska godina, posebice kada su u pitanju horori, bila je iznimno bogata i kvalitetna.	0
1	1	2	kao ljubitelj horor žanra, drago mi je da i na početku nove godine također imamo naslove koji se čine jako intrigantni.	0
1	1	3	uz film „presence“, redatelja stevena soderbergha, koji nam dolazi u kina 23. siječnja, krajem mjeseca ćemo na velikom platnu gledati film „companion“, također jedan od najočekivanijih horora redatelja i scenarista drewa hancocka.	1
1	1	4	prvi teaser filma, objavljen prije nekoliko mjeseci, imao je intrigantnu predigru, prije svega kroz privlačan i zavodljiv font naslova koji me podsjetio na znamenite “limenke campbellove juhe“, andyja warhola.	0
1	1	5	osobno sam veliki ljubitelj kreativnosti, posebice po tom pitanju, tako da mi je upravo takav tajanstveni teaser dovoljno zaokupio pažnju, uz neizostavnu želju za daljnjim zavođenjem.	0
1	1	6	žanrovski gledano film spada u znanstveno-fantastični triler s određenom dozom humora i romantike.	1
1	1	7	u središtu radnje pratimo iris koja upozna šarmantnog mladića josha u lokalnoj trgovini.	1
1	1	8	kemija između njih je više nego očita, pa tako ubrzo zajedno odlaze na vikend gdje će stvari neočekivano krenuti u uvrnutom smjeru.	1
1	1	9	glavnu ulogu u filmu tumači sophie thatcher koju smo baš nedavno mogli gledati u horor filmu „heretic“, što je samo dodatno potvrdilo njen status moderne princeze vriska.	0
1	1	10	prethodno je sophie glumila u jako hvaljenim serijama “yellowjackets” i “egzorcist”, dok je ljubiteljima horora polako prirasla srcu kroz filmove “boogeyman” i “maxxxine”.	0
1	1	11	sophie svojim izgledom i karizmom baš odgovara profilu femme fatale koju će portretirati u „companion“, dok će joj društvo činiti jack quaid kao josh koji je također pokazao svojoj horor potencijal u filmu “vrisak” iz 2022. godine.	0
2	1	1	svima draga junakinja, raščupana bridget jones koja dane najčešće provodi uz cigaretu, alkohol, tv, najčešće u pidžami ili u totalno nestiliziranim trash odjevnim kombinacijama opsjednuta seksom, debeljuckasta (samo u prva dva nastavka doduše), smotana i šeprtljava – poharala je svijet i postala ikona generacije x.	0
2	1	2	no, snaga šarma i seksipila (da, da i seksipila) te i takve šašave bridget prenijela se i na narednu generaciju (uz napomenu da nju voli i muška i ženska populacija), a uz ovaj četvrti, posljednji nastavak ju je definitivno zavoljela i generacija z, koja se ipak znači može i zna odlijepiti od tik toka i ekrana svojih smartphonea – ima nade i za “mladež”, dakle.	4
2	1	3	nije da je to bitan podatak, ali veseli nas matore.	3
2	1	4	pa, bridget jones hvala ti na tome!	0
2	1	5	“luda za njim” je dakle (za sada i nadam se da će tako i ostati) posljednji nastavak, završetak popularnog serijala.	3
2	1	6	nadam se da će tako i ostati u smislu da se helen fielding neće predomisliti, jer je taj završetak… savršen.	0
2	1	7	grehota bi bila da to upropaste.	3
2	1	8	scenarij filma potpisuje povratnik dan mazer, abi morgan i naravno kao stalni član tima, spisateljica helen fielding.	1
2	1	9	redatelj je nepoznati michael morris koji iza sebe nema ništa specijalno, ali je ovdje napravio prilično odličan posao.	0
2	1	10	film ima odličnu dinamiku, teče kao podmazan, bliski kadrovi su sjajni, a bili bi još više da renée zellweger, koja naravno reprizira rolu bridget jones, nije previše botoksirana i fejsliftana, ali začudo ipak uspijeva prenijeti mimiku i grimase stare bridget i njene nove emocije.	3
2	1	11	emotivnost je ključ ovog nastavka.	1
2	1	12	nikada do sada nismo vidjeli bridget emotivniju nego je ovdje.	0
2	1	13	ako prije niste, pustit ćete i suze u ovom nastavku.	0
2	1	14	“luda za njim” je film sazrijevanja, žalovanja, nostalgije i nade.	1
2	1	15	u ovom nastavku je bridget samohrana majka dvoje školaraca billya i mabel (vrlo zabavnih i pomalo ekscentričnih, na majku), koja još pokušava pohvatati konce života četiri godine nakon što je izgubila supruga marka darcyja koji je ubijen tijekom humanitarne misije u sudanu.	1
2	1	16	čežnja za njim i zajedničkim životom je i dalje posve obuzima i teško se nosi s tim da je ostala sama, iako su i dalje oko nje svi nam poznati likovi: booze brothers prijatelji shazzer, tom i jude, majka pamela i otac colin (doduše samo u flashbacku), ginekologinja dr. rawlings (još fantastičnija emma thompson) i bad boy daniel cleaver (genijalan hugh grant) koji bi i dalje poševio i muhu u letu, ali su i njega sustigle godine pa više ne pokušava isto barem s bridget, no zato joj sada dobar prijatelj i povremeni babysitter klincima, uz obavezne djeci neprimjerene komentare i anegdote.	1
2	1	17	pa je tako u filmu svakako jedna od najboljih točaka baš povratak role daniela cleavera – i dalje je šarmantan, besraman i drzak, ali ipak zreliji.	0
2	1	18	i emotivniji.	1
2	1	19	i on.	1
2	1	20	prikaz starenja tj. godina (ako hoćete bora) je druga svjetla točka filma.	0
2	1	21	totalno kontradiktorno holivudskom must-do i opsesiji mladosti, zategnutosti, savršenosti (bez bora), u ovom filmu su svi mrtvo hladno prikazani baš s borama i uz realno starenje što je pravo osvježenje u jednom holivudskom filmu: daniel, majka, prijatelji, doktorica (čak i bridget, koliko lice renée zellweger to posjeduje) – a opet su svi i šarmantni, simpatični – i neodoljivi.	0
